number,FIELD.CODE,LAT,LONG
160,F00VAU06,34.89346385,-94.38515951
161,F00VAU07,34.88672689,-94.40258728
162,F00VAU09,34.87643069,-94.48008301
163,F00VAU20,34.924228,-94.195012
164,F00VAU24,34.91692944,-94.27093152
165,F00VAU29,34.99685404,-94.6246661
166,F00VAU30,35.00345826,-94.61826592
167,F00VAU32,35.01434228,-94.6120583
168,F00VAU33,35.04004304,-94.60695024
169,F00VAU28,34.924228,-94.195012
170,F00VAU34,35.10203799,-94.60285633
171,F00VAU43,34.58625344,-92.60664647
172,F00VAU48,34.6863925,-92.82509537
173,F00VAU50,34.67870053,-92.81911855
174,F00VAU52,34.67257571,-92.78479208
175,F00VAU53,34.64305709,-92.62661915
176,F00VAU54,34.62329602,-92.61986783
177,F00VAU58,34.57794479,-92.61415412
178,F00VAU59,34.55876899,-92.61877726
179,F00VAU60,34.5541071,-92.62181778
180,F00VAU61,34.5621285,-92.61743203
